# Index	SPI_SensorBufMag.DATA.MAG.i16XOut	SPI_SensorBufMag.DATA.MAG.i16YOut	SPI_SensorBufMag.DATA.MAG.i16ZOut
878	-3123	4469	-1846
879	-3210	4527	-1819
880	-3291	4487	-1773
881	-3291	4487	-1773
882	-3393	4581	-1748
883	-3515	4702	-1667
884	-3609	4828	-1571
885	-3609	4828	-1571
886	-3677	4942	-1546
887	-3737	5018	-1435
888	-3811	5113	-1355
889	-3837	5201	-1263
890	-3837	5201	-1263
891	-3885	5238	-1193
892	-3943	5298	-1067
893	-3975	5325	-985
894	-3975	5325	-985
895	-4074	5343	-927
896	-4103	5387	-843
897	-4175	5367	-788
898	-4277	5382	-715
899	-4277	5382	-715
900	-4402	5375	-646
901	-4488	5319	-594
902	-4649	5235	-429
903	-4649	5235	-429
904	-4823	5122	-321
905	-4991	4943	-197
906	-5177	4766	-62
907	-5316	4637	94
908	-5316	4637	94
909	-5389	4509	306
910	-5456	4394	481
911	-5513	4278	625
912	-5513	4278	625
913	-5496	4141	802
914	-5493	3992	1008
915	-5473	3812	1137
916	-5452	3665	1258
917	-5452	3665	1258
918	-5389	3522	1366
919	-5343	3423	1488
920	-5285	3256	1552
921	-5285	3256	1552
922	-5192	3114	1618
923	-5112	2989	1689
924	-4988	2879	1731
925	-4916	2795	1794
926	-4916	2795	1794
927	-4828	2700	1825
928	-4727	2620	1847
929	-4633	2516	1868
930	-4633	2516	1868
931	-4535	2473	1923
932	-4419	2429	2010
933	-4327	2380	2135
934	-4202	2325	2251
935	-4202	2325	2251
936	-4084	2302	2308
937	-3978	2279	2401
938	-3889	2282	2380
939	-3889	2282	2380
940	-3803	2258	2378
941	-3759	2192	2369
942	-3653	2181	2422
943	-3653	2181	2422
944	-3573	2197	2502
945	-3445	2203	2566
946	-3314	2240	2613
947	-3137	2291	2727
948	-3137	2291	2727
949	-2969	2328	2863
950	-2823	2457	2949
951	-2697	2556	3013
952	-2589	2658	3040
953	-2589	2658	3040
954	-2449	2812	3074
955	-2403	2893	3122
956	-2378	2979	3142
957	-2378	2979	3142
958	-2318	3021	3132
959	-2255	3104	3160
960	-2204	3180	3147
961	-2204	3180	3147
962	-2173	3200	3139
963	-2202	3231	3181
964	-2201	3286	3226
965	-2206	3237	3193
966	-2206	3237	3193
967	-2230	3270	3180
968	-2294	3266	3182
969	-2295	3319	3167
970	-2328	3390	3212
971	-2328	3390	3212
972	-2389	3444	3229
973	-2385	3490	3242
974	-2372	3520	3193
975	-2372	3520	3193
976	-2363	3533	3176
977	-2377	3592	3216
978	-2348	3640	3159
979	-2358	3682	3231
980	-2358	3682	3231
